,0
0,30.868750785589217
1,31.5713162446022
2,31.38784482240677
3,31.508784124851225
4,31.77110885500908
5,31.576697120666502
6,31.49326545357704
7,32.30854241013527
8,31.06189454317093
9,30.527396193742753
10,30.41003210425377
11,31.44280920743942
12,32.132444112300874
13,31.948388859033585
14,32.20601886510849
15,32.70694592475891
16,32.143494770526885
17,31.687300004959106
18,32.806201219558716
19,32.930286388397214
20,32.1809382045269
21,31.57603103160858
22,31.01959186911583
23,31.42627735853195
24,31.82619161128998
25,31.514367636442184
26,31.250931420326232
27,31.354684822559356
28,31.393330025672913
29,31.020829751491547
30,30.05489829659462
31,30.38564160823822
32,30.345826736688615
33,30.059173705577848
34,30.095796566009522
35,29.574991161823274
36,29.463537609577177
37,29.431545271873475
38,29.47794880747795
39,29.05043399095535
40,28.72575570106506
41,28.541381447315217
42,27.843785574436186
43,27.36321836948395
44,26.428542943000792
45,24.69279510974884
46,22.965678346157073
47,17.450619443655015
48,16.003769682645796
49,16.340108543634415
50,15.601678602695463
51,15.746512846946715
52,15.746799245178698
53,15.21769631743431
54,14.84879131913185
55,14.502500746548174
56,13.718942268788814
57,13.706442565917968
58,12.974360533952712
59,12.452910106778145
60,12.12585486203432
61,11.84253327935934
62,11.438376721441745
63,11.084087312072514
64,10.661267721205949
65,10.351854055821894
66,10.139474970400332
67,9.881366965174674
68,9.515614855289458
69,9.259534710049628
70,9.063462518006562
71,8.875156182050704
72,8.714688657075166
73,8.581347709298132
74,8.468111817091703
75,8.350745470523833
76,8.231680045127868
77,8.110195031166075
78,8.00322303444147
79,7.971202608644962
80,7.999901115894317
81,8.05762866705656
82,8.093918984532355
83,7.996748227477073
84,7.95343337893486
85,8.100891853570937
86,8.040830482840537
87,7.8212217229604715
88,7.8530294817686075
89,8.00389915496111
90,7.995287646651267
91,8.019400772750377
92,8.11153573602438
93,8.152960657179355
94,8.28847191169858
95,8.301743033975361
96,8.355001819729804
97,8.517429241538046
98,8.439027098566292
99,8.544006596207618
100,8.718997420668602
101,8.781078124642372
102,8.951949529349804
103,9.000642244517802
104,8.838798904567955
105,8.791835864186286
106,8.84536274075508
107,8.702986204624175
108,8.857069205790758
109,9.226529696285724
110,9.411935685873031
111,9.273928352892398
112,9.199538543820381
113,9.388594731539486
114,9.538893363773822
115,9.66239394918084
116,9.668701230734586
117,9.611311489045619
118,9.485520219355822
119,9.237335586845875
120,9.242862169891595
121,9.234458814412354
122,9.179779824465513
123,9.276516470015048
124,9.375261915773153
125,9.217397053539752
126,9.06064091861248
127,9.423681524395942
128,9.689204284548758
129,9.848641578406095
130,9.798817063570022
131,9.857287946045398
132,10.412521326839922
133,10.979423053115605
134,11.183607688248157
135,11.16897504583001
136,11.045654525160788
137,10.912501416504382
138,10.68266884163022
139,10.166653711199759
140,9.89588249027729
141,9.82304881170392
142,10.234791913330554
143,11.164452361315488
144,11.731505562663077
145,13.599418907165527
146,16.308747184872626
147,17.890193080306055
148,17.897760815024377
149,18.16937568187714
150,18.37834908604622
151,18.67696162581444
152,18.721356862783434
153,18.528816999197005
154,18.198807990550996
155,17.97474526166916
156,17.82113750100136
157,17.42707560300827
158,17.5618191999197
159,17.166095088720322
160,17.174222579002382
161,17.318467976450922
162,17.12446051001549
163,16.96790149331093
164,16.867475526928903
165,16.616962842941284
166,16.789459846019742
167,16.784675841927527
168,16.559448460340498
169,16.80380282998085
170,16.87697030544281
171,17.203965862989428
172,17.609116538763047
173,18.08107273697853
174,18.597185423374178
175,18.736408067941667
176,18.630951323509215
177,18.74073764681816
178,18.6556969332695
179,18.836802936792374
180,19.734296750426292
181,20.31573933124542
182,21.066789854168892
183,22.42182666182518
184,24.934156091213225
185,29.344997832775114
186,32.37957719683647
187,33.27234518885612
188,33.9775288593769
189,34.232552691698075
190,34.99099138617515
191,35.62208268046379
192,34.99081483244896
193,34.516912530660626
194,34.788973797559734
195,35.113740364313124
196,34.609715589284896
197,34.38632095575333
198,33.75404996156693
199,33.41386303186417
200,32.75064698457718
201,32.274395314455035
202,31.953629294633863
203,31.47999784231186
204,30.64746677160263
205,30.238628530502318
206,28.92107628583908
207,29.038925898075103
208,29.27868385195732
209,30.652223690748215
210,31.524816406965254
211,33.104033311605455
212,32.735254709720614
213,32.141661019325255
214,32.013721762895585
215,33.445137116909024
216,33.58146066904068
217,33.95855735898018
